Ref,Service subcategory->Name,Team->Name,Service->Name,Request Type,Last team ID->Name,Title_anon,Description_anon,Public_log_anon,instance_count,first_reply,initial_sequence,label_auto,label_category,Ticket_Reference,Team,Service_Name,Service_Subcategory,Status,Priority,Source
R-528989,I need to restore a personal file or folder,(GI-UX) Group,Backup and restore,Service request,(GI-IaaS) Backend Backup,Restore file of an ex-employee,"Hi,

I need the following file:

short.link/placeholder

Is it possible to receive it?

Thanks","********** 2024-06-05 15:14:57 : servicedesk (0) ************

Dear Alicia Ramos, this ticket has been assigned to Lorenzo Vivaldi (Montecatini Terme) (J84N) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-06-05 16:07:03 : Lorenzo Vivaldi (58231) ************

Approved by Lorenzo Vivaldi (Montecatini Terme) (J84N)",2,"this ticket has been assigned to Lorenzo Vivaldi (Montecatini Terme) (J84N) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.",112,other,5,,,,,,,
R-528988,Device assignments management for new joiners,(GI-UX) Group,Corporate computers,Service request,,gft_germany_new_entry_20240606_193472_TORSO [Ticket to manage device assignments],"Request forON - Boarding

employee datainternal / externalConsultant
date of entry6 Jun 2024
SurnameFEBRIS
NameGIORDANO
private email addressgiordano.febris@techsolutions.com
additional info
Account information & permissionGFT codeE-MORN

VPN ACCESS (requires policy signature)YES
additional permission
Company informationCompanyACME ITALIA SRL
Role
SAP code915828
Level
Client unitCCB
ManagerBIANCHI
additional info
GFT officeLocationMilan
workplace required?
1°ST Day Location
Room/Workplace
additional info","********** 2024-06-05 14:54:15 : Silvia Ricci (38819) ************

This additional ticket is automatically created to speed up the On-boarding process activities of [R-528987](https://short.url)",1,This additional ticket is automatically created to speed up the On-boarding process activities of [R-528987](https://short.url),7,On-boarding,2,,,,,,,
R-528987,I need to start the IT On-Boarding of a new Contractor,(GI-UX) Account Management,On boarding & Off boarding IT requests,Service request,,gft_germany_new_entry_20240606_659830_JOHNSON,"Request forON - Boarding

employee datainternal / externalConsultant
date of entry6 Jun 2024
SurnameJOHNSON
NameMARK
private email addressmark.johnson@example.com
additional info
Account information & permissionGFT code

VPN ACCESS (requires policy signature)YES
additional permission
Company informationCompanyGFT GERMANY GMBH
Role
SAP code659830
Level
Client unitCCB
ManagerDOE
additional info
GFT officeLocationMilan
workplace required?
1°ST Day Location
Room/Workplace
additional info","********** 2024-06-05 14:54:16 : servicedesk (0) ************

Dear Maria Elena, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to start the IT On-boarding of a new Contractor
- Important information:
Please before submitting the ticket, check the following required information is provided for all new employees:
- EmployeeID/SAP number
- Name
- Surname 1
- Surname 2 (optional)
- GFT email (optional)(If not indicated, it will be created with the Name and Surname fields of Success Factors )
- Private email (optional) (Required only for Bruxelles, Florence, Genoa, Konstanz, Milano, Montecatini, Padua, Paris, Piacenza, Quebec, Siena, Toronto, Turin, AXOOM, EXPERTS, ININ)
- Expiration date (optional)
- If any external employee is becoming Internal or vice versa (mention the previous GFT 4 letter ID)
- If any person is an ex GFT employee (mention the previous GFT 4 letter ID)
*Note: for just project changes, please use the following service and category, Corporate computers - * I need to onboard / configure my GFT computer for a different Customer
https://workspace.gft.com/portal_shortlink
- Please confirm:: Yes I have read and provided all the requested information.
---------------------------------------------------------------
********** 2024-06-06 19:13:47 : Richard Smith (0) ************

Dear receiver,

A new Active-Directory account has been created for the following contractor :: Johnson, Mark (e-bcd // 659830) in Milano

Account properties in Active-Directory

SamAccountName:

e-bcd

DisplayName:

Johnson, Mark

GivenName:

Mark

Surname:

Johnson

EmailAddress:

Mark.Johnson@gft.com

City:

Milano

Country:

Italy

CanonicalName:

gft.com/gftobjects/milano/users-external/e-bcd

extensionAttribute4:

659830

Enabled:

True

Description:

2024/06/06 16:19:25 303, 202406061617524864, ON20010, User generated by AMA Procedure. CreateAccount script vPost.ADCE_1.2b., Agent: GFT\r-JNAO, Fingerprint: 223943489215674 (CREATED ENABLED)

OnPremises MemberOf:

az-mist-ppsk-ssp-gft-connect | az-lic-OfficeE3 | az-lic-OfficeE3-Exchange | ns-user-vpn_base-enabled-mfa-eu | az-OneDriveMigration | az-lic-aadp2 | az-O365Compliant | az-O365Advanced | az-lic-whiteboard | az-lic-atp | SigOutlookAllowed | az-intune-preenrollment | az-lic-aadp1 | az-lic-mfa | az-exo-mailbox-users | az-lic-todo | az-lic-forms | az-lic-stream | az-lic-skype | az-lic-planner | az-lic-intune | az-lic-teams | az-lic-sharepoint | az-onedrive | az-lic-office | Wifi-Initial-Setup-Helper | GFT PKI SMIME Autoenroll

OnCloud MemberOf:

<#=CloudMemberOf=#>

Phone parameters configured on MS Teams

SipAddress:

sip:e-bcd@gft.com

LineURI:

OnlineVoiceRoutingPolicy:

DialPlan:

IT

TenantDialPlan:

You can use this account to enroll a corporate device in intune.
Reply this mail to GroupIT-InfrastructureFrontendAM@gft.com in case of doubts or if you do not want to receive this email.

Best regards

Richard Alexander Smitsen

Group IT Infrastructure - Country Coordinator MX & CR

_________________________________________________

GFT Germany, S.A. de C.V

Calle Amalienstraße 33, 8º piso

Colonia Bogenhausen

81667 Munich, Germany

Richard.Smits",2,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to start the IT On-boarding of a new Contractor
- Important information:
Please before submitting the ticket, check the following required information is provided for all new employees:
- EmployeeID/SAP number
- Name
- Surname 1
- Surname 2 (optional)
- GFT email (optional)(If not indicated, it will be created with the Name and Surname fields of Success Factors )
- Private email (optional) (Required only for Bruxelles, Florence, Genoa, Konstanz, Milano, Montecatini, Padua, Paris, Piacenza, Quebec, Siena, Toronto, Turin, AXOOM, EXPERTS, ININ)
- Expiration date (optional)
- If any external employee is becoming Internal or vice versa (mention the previous GFT 4 letter ID)
- If any person is an ex GFT employee (mention the previous GFT 4 letter ID)
*Note: for just project changes, please use the following service and category, Corporate computers - * I need to onboard / configure my GFT computer for a different Customer
https://workspace.gft.com/portal_shortlink
- Please confirm:: Yes I have read and provided all the requested information.",0,to start the IT On-boarding of a new Contractor,1,,,,,,,
R-528983,I need to access network destinations from my computer (while connected to VPN) ->,"(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",Network,Service request,(GI-UX) Network Access,Ref ticket R-519265,"Hello,

In connection with ticket R-519265, we are unable to access these two IPs from the ABC VPN:

192.168.1.1 -> 192.168.1.2

192.168.1.3 -> 192.168.1.4

Could you please check if the configuration on our side is correct?
The customer says they have already set up the configuration on their end.

Thank you","********** 2024-06-05 14:37:38 : servicedesk (0) ************

Dear Alice, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your ABC employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager’s approval. Therefore, please add your own name as the approver.

The field ABC Project Manager below only accepts persons with Level L5 and above

After this approval, an additional review to make sure that the requested network connection follows all the ABC policies will be made. Please complete as much of the requested information as relevant
- ABC Project Manager: John Doe (Rome) (XYZ)
- Destination (ABC Server, Customer site): Customer site
- Destination IP address: 192.168.1.1, 192.168.1.3
- Destination DNS name: 192.168.1.1, 192.168.1.3
- Destination ports/services: 80, 443, 22
- Project name: Project Visionary
- Justification:
We need to be able to access the UAT environment of the new Project Visionary website
---------------------------------------------------------------
********** 2024-06-05 14:40:44 : servicedesk (0) ************

Dear Alice, this ticket has been assigned to John Doe (Rome) (XYZ) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-06-05 14:41:31 : John Doe (12345) ************

Approved by John Doe (Rome) (XYZ)
********** 2024-06-05 17:02:42 : Mark Smith (67890) ************

Hi Alice,

It has been fixed and should be working now.

Cheers,

Mark Smith.",4,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your ABC employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager’s approval. Therefore, please add your own name as the approver.

The field ABC Project Manager below only accepts persons with Level L5 and above

After this approval, an additional review to make sure that the requested network connection follows all the ABC policies will be made. Please complete as much of the requested information as relevant
- ABC Project Manager: John Doe (Rome) (XYZ)
- Destination (ABC Server, Customer site): Customer site
- Destination IP address: 192.168.1.1, 192.168.1.3
- Destination DNS name: 192.168.1.1, 192.168.1.3
- Destination ports/services: 80, 443, 22
- Project name: Project Visionary
- Justification:
We need to be able to access the UAT environment of the new Project Visionary website",0,to enable Client-to-Site VPN tunnel requests,1,,,,,,,
R-528963,Virtual devices retirement management for Off-boarding,(GI-IaaS) Backend Application Srv. & Project Support,Virtualization Infrastructure,Service request,,Gft Italia__new_dismissal__20240606_gigr_Adams [Ticket to manage virtual devices retirement],"Request forOFF - Boarding

employee datainternal / externalInternal employee
date of exit6 Jun 2024
SurnameADAMS
NameJOHN
private email address
ex externo
additional info
Account information & permissionGFT code815272

VPN ACCESS (requires policy signature)
additional permission
Company informationCompanyGFT ITALIA SRL
Role
Level
Client unit
ManagerBrown Michael
additional info
GFT officeLocationMilan
workplace required?
1°ST Day Location
Room/Workplace
additional info
AssetsPCs (include mouse + backpack)
company mobile phone
tablet
4G/UMTS USB key
other hardware / non standard software","********** 2024-06-05 13:33:53 : Anne Smith (20448) ************

This additional ticket is automatically created to speed up the Off-boarding process activities of [R-528960](http://short.link)",1,This additional ticket is automatically created to speed up the Off-boarding process activities of [R-528960](http://short.link),7,Off-boarding,2,,,,,,,
R-528962,I need to remove user access card for Off-boarding process,(LF) IT Office Access Italy,Office access,Service request,,Gft Italia__new_dismissal__20240606_gigr_Thomas [Ticket to manage Admin Location Infrastructure Management Italy task],"Request forOFF - Boarding

employee datainternal / externalInternal employee
date of exit6 Jun 2024
SurnameTHOMAS
NameJOHN
private email address
ex externo
additional info
Account information & permissionGFT code981274

VPN ACCESS (requires policy signature)
additional permission
Company informationCompanyABX ITALIA SRL
Role
Level
Client unit
ManagerAlexandre Vincenti
additional info
GFT officeLocationMilan
workplace required?
1°ST Day Location
Room/Workplace
additional info
AssetsPCs (include mouse + backpack)
company mobile phone
tablet
4G/UMTS USB key
other hardware / non standard software","********** 2024-06-05 13:33:52 : Julia Martinez (20448) ************

This additional ticket is automatically created to speed up the Off-boarding process activities of [R-528960](https://short.url)",1,This additional ticket is automatically created to speed up the Off-boarding process activities of [R-528960](https://short.url),7,Off-boarding,2,,,,,,,
R-528961,Device retirements management for Off-boarding,(GI-UX) File & Print,Corporate computers,Service request,(GI-UX) Group,Gft Italia__new_dismissal__20240606_gigr_Morelli [Ticket to manage device retirements],"Request forOFF - Boarding

employee datainternal / externalInternal employee
date of exit6 Jun 2024
SurnameMORELLI
NameGIACOMO
private email address
ex externo
additional info
Account information & permissionGFT code819951

VPN ACCESS (requires policy signature)
additional permission
Company informationCompanyGFT ITALIA SRL
Role
Level
Client unit
ManagerRossi Francesco
additional info
GFT officeLocationMilan
workplace required?
1°ST Day Location
Room/Workplace
additional info
AssetsPCs (include mouse + backpack)
company mobile phone
tablet
4G/UMTS USB key
other hardware / non standard software","********** 2024-06-05 13:33:51 : Chiara Bianchi (20448) ************

This additional ticket is automatically created to speed up the Off-boarding process activities of [R-528960](short.link/placeholder)
********** 2024-06-05 16:52:10 : Luca Esposito (38606) ************

Hello,

You will find below the list of assets that need to be returned:

PCs (include mouse + backpack + headset)

3QTPXZ5

Monitor

none

Mobile Phone + SIM

MP004123 + SC007432

Tablet

none

Internet Key

none

other hardware / non standard software

none

You need also to confirm that:

[ENG]

OneDrive(Sharing) and Own Cloud (Sharing) have been checked and if it's necessary, given over to a Team responsible person as well as the out of office message is set.

[ITA]

Tutti i file e le cartelle condivisi tramite OneDrive/OwnCloud siano stati controllati e se necessario, consegnati al responsabile del team/progetto e che sia stato impostato il messaggio di out of office.

If you have any further questions, please contact the agent assigned to this ticket.",2,This additional ticket is automatically created to speed up the Off-boarding process activities of [R-528960](short.link/placeholder),7,Off-boarding,2,,,,,,,
R-528960,I need to start the IT Off-Boarding of an employee/consultant,(GI-UX) Account Management,On boarding & Off boarding IT requests,Service request,,Gft Italia__new_dismissal__20240606_gigr_Dwyer,"Request forOFF - Boarding

employee datainternal / externalInternal employee
date of exit6 Jun 2024
SurnameDWYER
NamePATRICK
private email address
ex externo
additional info
Account information & permissionGFT code238642

VPN ACCESS (requires policy signature)
additional permission
Company informationCompanyABZ TECH LTD
Role
Level
Client unit
ManagerWallace Julian
additional info
GFT officeLocationMilan
workplace required?
1°ST Day Location
Room/Workplace
additional info
AssetsPCs (include mouse + backpack)
company mobile phone
tablet
4G/UMTS USB key
other hardware / non standard software","********** 2024-06-05 13:34:19 : servicedesk (0) ************

Dear Hannah, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to start the IT Off-Boarding of an employee/consultant
- Please confirm the information above: I confirm that I am from the HR department and I open this ticket to request an IT Off-Boarding
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to start the IT Off-Boarding of an employee/consultant
- Please confirm the information above: I confirm that I am from the HR department and I open this ticket to request an IT Off-Boarding",0,to start the IT Off-Boarding of an employee/consultant,1,,,,,,,
R-528955,I need to access network destinations from my computer (while connected to VPN) ->,(GI-UX) Network Access,Network,Service request,,I need to access RandomCorp resources remotely,I need to access RandomCorp resources through VPN from my corporate computer,"********** 2024-06-05 13:10:04 : servicedesk (0) ************

Dear Alex, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your Delta employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a managers approval. Therefore please add your own name as the approver.

The field Delta Project Manager below only accept persons with Level L5 and above

After this approval an additional review to make sure that the requested network connection follows all the Delta policies will be made. Please complete as much of the requested information as relevant
- Delta Project Manager: Jordan Foster (Rome) (B13K)
- Destination (Delta Server, Customer site): -
- Destination IP address: -
- Destination DNS name: -
- Destination ports/services: -
- Project name: RandomCorpWork
- Justification:
I need to access RandomCorp resources through VPN from my corporate computer
---------------------------------------------------------------
********** 2024-06-05 13:22:10 : Jordan Foster (20902) ************

Approved by Jordan Foster (Rome) (B13K)
********** 2024-06-05 13:25:04 : servicedesk (0) ************

Dear Alex, this ticket has been assigned to Jordan Foster (Rome) (B13K) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.",3,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your Delta employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a managers approval. Therefore please add your own name as the approver.

The field Delta Project Manager below only accept persons with Level L5 and above

After this approval an additional review to make sure that the requested network connection follows all the Delta policies will be made. Please complete as much of the requested information as relevant
- Delta Project Manager: Jordan Foster (Rome) (B13K)
- Destination (Delta Server, Customer site): -
- Destination IP address: -
- Destination DNS name: -
- Destination ports/services: -
- Project name: RandomCorpWork
- Justification:
I need to access RandomCorp resources through VPN from my corporate computer",0,to enable Client-to-Site VPN tunnel requests,1,,,,,,,
R-528952,* I need administrator rights on my computer >>,(GI-CF) Robot Process Automation,Corporate computers,Service request,(BF) Information Security Office,Admin rights,"I have to install Intellij and the Intesa San Paolo certificate on my PC, but I need the administrator rights. Could you please help me?","********** 2024-06-05 13:02:48 : servicedesk (0) ************

Dear Francesco, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: Yes (Please do not use this subcategory if you need to install Software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer) do not open this ticket
- Do you need temporary short or long term admin rights?: Short Term: Choose this if Group IT cannot perform the task for you (Please do not open this ticket if you need to install software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer)
- General Instructions:
Please provide the full name of your GFT employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: Alessandro Russo (Milano) (B92X)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: GFT-kJDm58uStyw (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, GFT & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
Intesa San Paolo
- Justification, including the list of software/actions that requires you to have admin Rights:
IntelliJ Community, Intesa San Paolo certificate
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rights are still needed.
- GFT Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base GFT Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the GFT Group environment:
✔️ Only personnel from GFT Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of GFT Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between GFT Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a GFT Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base GFT Group system installation deployed on the user’s workstation.
? Stop, crash, or block any service that protects",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: Yes (Please do not use this subcategory if you need to install Software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer) do not open this ticket
- Do you need temporary short or long term admin rights?: Short Term: Choose this if Group IT cannot perform the task for you (Please do not open this ticket if you need to install software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer)
- General Instructions:
Please provide the full name of your GFT employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: Alessandro Russo (Milano) (B92X)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: GFT-kJDm58uStyw (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, GFT & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
Intesa San Paolo
- Justification, including the list of software/actions that requires you to have admin Rights:
IntelliJ Community, Intesa San Paolo certificate
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rights are still needed.
- GFT Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base GFT Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the GFT Group environment:
✔️ Only personnel from GFT Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of GFT Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between GFT Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a GFT Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base GFT Group system installation deployed on the user’s workstation.
? Stop, crash, or block any service that protects",0,to request admin rights on the computer,1,,,,,,,
R-528944,I need to change the eMail signature ->,(GI-IaaS) Backend M365 (2nd level),Email,Service request,(GI-UX) Unified Communication,Google Summit Signature Banner,"Dear All,

I'm just writing in order to ask you to add to my email signature the attached banner for the Google Cloud Summit that will take place in Milano the 27th June.

Please note that Random Corp will be sponsor of the event with a booth and the banner would be useful for visibility to invite clients and leads.

Thank you in advance,

John","********** 2024-06-05 12:25:06 : servicedesk (0) ************

Dear John, this ticket has been assigned to Jane Doe (Eschborn) (JD123) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-06-10 09:11:10 : Jane Doe (24689) ************

Approved by Jane Doe (Eschborn) (JD123)
********** 2024-06-10 09:44:41 : Bob Smith (21778) ************

Hello John.

Is this banner to be added only to your signature? Not to all Italian colleagues?

Thanks.

Bob.
********** 2024-06-10 16:24:17 : John Brown (36319) ************

Hi Bob, the banner is for my email account (not for all Random Corp Italy).

Thank you in advance,

John
********** 2024-06-11 09:36:36 : servicedesk (0) ************

Dear John, this ticket has been assigned to Alice Johnson (Eschborn) (AJ456) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-06-11 09:37:17 : Mark Taylor (19718) ************

Dear John,

because a manual Signature is needed an approval from the Compliance team is required.

This is pending now. Once it's done you will be able to modify your Signature and add the Banner like requested.

We will update you about the progress.

Thank you for your understanding.

Kind Regards
********** 2024-06-14 10:19:14 : John Brown (36319) ************

Dear All,

as requested by Alice following here the email accounts to add the signature banner.

- John Brown -> john.brown@random.com

- Jake White -> jake.white@random.com

- Mario Black -> mario.black@random.com

- John Grey -> john.grey@random.com

- Peter Green -> peter.green@random.com

- Sam Red -> sam.red@random.com

- Nancy Blue -> nancy.blue@random.com

- Emma Purple -> emma.purple@random.com

- Lara Pink -> lara.pink@random.com

The event is planned for the 27th June so we can stop with the communication that day.

Other important thing: in the signature banner there's a button called ""Registrati"", in order to give the possibility to register to the event to our clients please copy in that button the link that reminds to official landing page [Home - Google Cloud Summit Milano 2024](https://short.link).

Thank you in advance,

John
********** 2024-06-14 10:30:40 : John Brown (36319) ************

please add also:

- Chris Violet -> chris.violet@random.com
********** 2024-06-14 11:54:17 : Alice Johnson (18620) ************

Approved by Alice Johnson (Eschborn) (AJ456)
Approved to add the attached picture with the link mentioned behind it until 28th of June 2024.

(just spoke with Dan - they will configure it manually in the tool)
********** 2024-06-17 09:25:25 : Tom Baker (26998) ************

Hi John,

the banner was added to your signature and to the other named colleagues.
It should become effective in some minutes.

Could you please test if everything works accordingly? The easiest way to do it is by sending an email to yourself.
Please let me know afterwards.

Best regards

Tom
********** 2024-06-18 09:44:26 : Tom Baker (26998) ************

Hi John,

could you already see the banner added to your signature?

Please let me know.

Best regards

Tom
********** 2024-06-18 09:56:37 : John Brown (36319) ************

Hi Tom, I can see it. Thank you for your support.
********** 2024-06-19 15:35:50 : John Brown (36319) ************

Hi Tom,

may I ask you if it could be possible to",13,"this ticket has been assigned to Jane Doe (Eschborn) (JD123) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.",50,other,5,,,,,,,
R-528941,* I need support about local software / programs,(GI-UX) File & Print,Corporate computers,Service request,(GI-SM) Service Desk,Admin rights,"I have to install Intellij and the Random Bank certificate on my PC, but I need the administrator rights.","********** 2024-06-05 11:55:05 : servicedesk (0) ************

Dear Marco, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer
---------------------------------------------------------------
********** 2024-06-05 11:56:37 : Julia Kowalska (41499) ************

Dear colleague,

Please note that this request requires additional information to proceed with.

---------------------------------------------------------------

The easiest way to provide the information is to open a new request from the portal using the following link:

[Corporate computers - * I need administrator rights on my computer >>](https://short.url)
---------------------------------------------------------------

Also, you can provide needed information in this ticket:

Note: If you don't provide this information, ticket will be closed after five working days.

General Instructions:

Please provide the full name of a Project Manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If your current level is L6 or above, the approver is not required. Therefore, please add your own name to the approver field.

1) Project Manager L6 or above:

2) Computer Name or other Name:

3) Do you need admin rights for one-time action / software installation?

No | Yes ( Please use the following subcategory: ""I need software or a license installed on my computer"")

Additional information

Granting permanent local admin rights increases the risk for the harming integrity of your working device, XYZ Corp & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.

4) List clients and projects you work on:

5) Justification, including the list of software/actions that requires you to have admin Rights:

6) Agree to XYZ Corp Local Admin Rights Policy by following this url: [XYZ Corp Local Admin Rights Policy](https://short.url)

Important Information

The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rights are still needed.

7) Please confirm you Agreed (Yes, I have read carefully and understood the concepts. I agree to follow it. / No, I haven't read it.):

Best regards,
Group IT.",2,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer",0,to support you about local software / programs,1,,,,,,,
R-528940,* I need an employee password reset,(GI-UX) Group,Groups & user accounts,Service request,,Reactivate account u-xibu,"Hi,

i need to reactivate the account: u-xibu

thanks,

Jackie","********** 2024-06-05 11:55:04 : servicedesk (0) ************

Dear Jackie, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request an employee password reset
- Information:
It is very important that you provide us a phone number in the next field where we can spoke with the affected person, remember to also include the + XX Country Code Number
- Employee phone: +49 162 8394671
- Device Type: Windows
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request an employee password reset
- Information:
It is very important that you provide us a phone number in the next field where we can spoke with the affected person, remember to also include the + XX Country Code Number
- Employee phone: +49 162 8394671
- Device Type: Windows",0,to request an employee password reset,1,,,,,,,
